Date,Rainfall,PET,Flow
31-05-2009,36.3818,157.544,7.4641
30-06-2009,47.1235,149.363,5.9634
31-07-2009,555.7182,74.541,5.9923
31-08-2009,257.7712,79.61,67.3437
30-09-2009,119.6976,78.394,71.969
31-10-2009,81.6982,64.601,32.5328
30-11-2009,38.56,52.469,19.1018
31-12-2009,4.3312,45.107,5.503
31-01-2010,5.4882,42.106,3.8125
28-02-2010,1.3212,48.754,4.1031
31-03-2010,1.0071,89.697,4.4281
30-04-2010,1.2035,141.658,6.6212
31-05-2010,31.1059,161.624,5.5706
30-06-2010,119.6288,132.141,9.0326
31-07-2010,380.2853,85.969,12.7027
31-08-2010,267.5459,78.107,154.6856
30-09-2010,244.8876,73.5,37.1203
31-10-2010,64.4629,67.403,33.1651
30-11-2010,16.4606,55.988,14.0725
31-12-2010,30.54,42.873,8.5493
